;Descricao;Preco
0;Processador Intel Core i5-12400F, 2.5GHz (4.4GHz Max Turbo), Cache 18MB, LGA 1700 - BX8071512400F;R$ 799,99
1;Processador Intel Core i5-12400, 2.5GHz (4.4GHz Max Turbo), Cache 18MB, LGA 1700 - BX8071512400;R$ 999,99
2;Processador Intel Core i3-10105, 3.7GHz (4.4GHz Max Turbo), Cache 6MB, Quad Core, 8 Threads, LGA 1200, Vídeo Integrado - BX8070110105;R$ 639,99
3;Processador Intel Core i5-10400F, 2.9GHz (4.3GHz Max Turbo), Cache 12MB, 6 Núcleos, 12 Threads, LGA 1200 - BX8070110400F;R$ 749,99
4;Processador Intel Core i7-14700K, 14ª Geração, 5.6 GHz Max Turbo, Cache 33MB, 20 Núcleos, 28 Threads, LGA1700 - BX8071514700K;R$ 2.899,99
5;Processador Intel Core i7-12700K, 3.6GHz (5.0GHz Max Turbo), 12 Núcleos, 20 Threads, LGA 1700, Vídeo Integrado - BX8071512700K;R$ 1.849,99
6;Processador Intel Core i9-14900K, 14ª Geração, 6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA1700 - BX8071514900K;R$ 3.689,99
7;Processador Intel Core i7-14700KF, 14ª Geração, 5.6 GHz Max Turbo, Cache 33MB, 20 Núcleos, 28 Threads, LGA1700 - BX8071514700KF;R$ 2.659,99
8;Processador Intel Core i5-14600KF, 14ª Geração, 5.3 GHz Max Turbo, Cache 24MB, 14 Núcleos, 20 Threads, LGA1700 - BX8071514600KF;R$ 1.799,99
9;Processador Intel Core i5-12600KF, 3.7GHz (4.9Ghz Max Turbo), Cache 20MB, Quad Core, 16 Threads, LGA 1700 - BX8071512600KF;R$ 1.229,99
10;Processador Intel Core i7-12700F, 2.1GHz (4.9GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700F;R$ 1.819,99
11;Processador Intel Core i7-12700KF, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, 12 Núcleos, 20 Threads, LGA 1700 - BX8071512700KF;R$ 1.699,99
12;Processador Intel Core i9-12900KS, 3.4GHz (5.5GHz Max Turbo), Cache 30MB, LGA 1700, Vídeo Integrado - BX8071512900KS;R$ 2.049,99
13;Processador Intel Core i5-10400, 2.9GHz (4.3GHz Max Turbo), Cache 12MB, LGA 1200 - BX8070110400;R$ 949,99
14;Processador Intel Core i5-14600K, 14ª Geração, 5.3 GHz Max Turbo, Cache 24MB, 14 Núcleos, 20 Threads, LGA1700 - BX8071514600K;R$ 1.799,99
15;Processador Intel Core I5 14600kf 14 Geração, 3.5 Ghz (5.3 Ghz Turbo), Cache 24MP, LGA1700 - Bx8071514600kf;R$ 2.095,90
16;Processador Intel Core i9-14900KF, 14ª Geração, 6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA1700 - BX8071514900KF;R$ 3.459,99
17;Processador Intel Core I5 - 12400F, 2.5GHz (4.4GHz Turbo), Cache 7,5MB, 12 Threads, Hexa Core, LGA 1700 - BX8071512400F;R$ 799,00
18;Processador Intel Core i5-13400, 4.6GHz Max Turbo, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071513400;R$ 1.459,99
19;Processador Intel Core i7-12700, Cache 25MB, 2.1GHz (4.9GHz Max Turbo), LGA 1700 - BX8071512700;R$ 2.149,99
20;Processador Intel Core i3-12100, Cache 12MB, 3.3GHz (4.3GHz Max Turbo), LGA 1700, Vídeo Integrado, com Cooler - BX8071512100;R$ 879,99
21;Processador Intel Core i5-13400F, 4.6GHz Max Turbo, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700 - BX8071513400F;R$ 1.409,99
22;Processador Intel Core I5-12600KF 12ª Geração, 3.7GHz, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700 - BX8071512600KF;R$ 1.109,00
23;Processador Intel Core I9 14900k, 14ª Geração, 3.6 GHZ 6.0 GHZ Turbo, Cache 36MB, Intel LGA1700 - BX8071514900K;R$ 3.965,31
24;Processador Intel Core i3-12100F, 3.3GHz (4.3GHz Max Turbo), Cache 12MB, LGA 1700 - BX8071512100F;R$ 589,99
25;Processador Intel Core i5-12600K, 3.7GHz (4.9GHz Max Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071512600K;R$ 1.499,99
26;Processador Intel Core I5 14600k 14 Geração, 3.5 Ghz (5.3 Ghz Turbo), Cache, 24MB, LGA1700 - Bx8071514600k;R$ 1.838,32
27;Processador Intel Core i3-10105F, 3.7GHz (4.4GHz Max Turbo), Cache 6MB, Quad Core, 8 Thread, LGA 1200 - BX8070110105F;R$ 499,99
28;Processador Intel Core I5 13400f, 2.5GHz (4.6GHz Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Sem Vídeo - Bx8071513400f;R$ 1.115,97
29;Processador Intel Core I5 14400f 14ª Geração, 3.5 Ghz (4.7 Ghz Turbo), Cache 20mb, 10 Núcleos, 16 Threads, Lga1700, Sem Vídeo Integrado - Bx8071514400f;R$ 1.171,92
30;Processador Intel Celeron G5905, 3.50 GHz, Cache 4MB, 2 Núcleos, 2 Threads, LGA 1200, Vídeo Integrado - BX80701G5905;R$ 349,99
31;Processador Intel Core i3-10100F, 3.6GHz (4.3GHz Max Boost), Cache 6MB, Quad Core, 8 Threads, LGA 1200 - BX8070110100F;R$ 499,99
32;Processador Intel I5-12400, 2.5GHz, Cache 18MB, Hexa Core, 12 Threads, LGA 1700 - BX8071512400;R$ 1.071,12
33;Processador Intel Core i7-13700F, 5.2GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071513700F;R$ 2.299,99
34;Processador Intel Core i9-12900KF, 3.2GHz (5.2GHz Max Turbo), Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071512900KF;R$ 2.299,99
35;Processador Intel Core I3-10100, 3.60GHz (4.3GHz Turbo), Cache 6MB, LGA 1200 - BX8070110100;R$ 656,72
36;Processador Intel Core i9-13900F, 5.6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700 - BX8071513900F;R$ 3.019,99
37;Processador Intel Pentium Gold G6405, 4.10 GHz, Cache 4MB, Dual Core, 4 Threads, LGA1200 - BX80701G6405;R$ 509,99
38;Processador Intel Core I7-3770, 3.40GHz, Smart Cache 8MB, LGA 1155, 8 Threads, OEM;R$ 343,10
39;Processador Intel Core I3 14100f, 14ª Geração, 3.5 Ghz, 4.7 Ghz Turbo, Cache 12mb Lga 1700, Sem Vídeo - Bx8071514100f;R$ 646,32
40;Processador Intel Pentium Gold G6400 Processor, 4.00 GHz, Cache 4MB, Dual Core, 4 Threads, LGA1200 - BX80701G6400;R$ 509,99
41;Processador Intel Core I9 11900kf Oem LGA 1200;R$ 1.699,00
42;Processador Intel Core i3-13100F, 4.5GHz Max Turbo, Cache 12MB, 4 Núcleos, 8 Threads, LGA 1700 - BX8071513100F;R$ 649,99
43;Processador Intel Core i3-13100, 4.5GHz Max Turbo, Cache 12MB, 4 Núcleos, 8 Threads, LGA 1700, Vídeo Integrado - BX8071513100;R$ 1.019,99
44;Processador Intel i5-11400 2.6GHz;R$ 1.151,99
45;Processador Intel Core i7 10700 2.90GHz;R$ 1.934,99
46;Processador Intel Core I5 14400, 14ª Geração 3.5 Ghz, 4.7 Ghz Turbo, Cache 20mb, LGA1700 - Bx8071514400;R$ 1.495,12
47;Processador Intel Core i7-11700KF 11ª Geração, 3.6 GHz (4.9GHz Turbo), Cache 16MB, Octa Core, 16 Threads, LGA1200 - BX8070811700KF;R$ 1.949,99
48;Processador Intel Core I3 - 14100, 3.5 GHz, (4.7GHz Turbo), Cache 12MB, 8 Threads, LGA 1700 - Bx8071514100;R$ 934,07
49;Processador Intel Core i7-11700K 11ª Geração, 3.6 GHz (4.9GHz Turbo), Cache 16MB, Octa Core, LGA 1200, Vídeo Integrado - BX8070811700K;R$ 2.249,99
50;Processador Intel Core I5-13600K, 3.5GHz, Cache 24MB, Quad Core, 20 Threads, LGA 1700 - BX8071513600KI;R$ 1.846,12
51;Processador Intel I5-3470, 3.60ghz, 6mb Cache - Fclga1155.;R$ 151,74
52;Processador Intel Core i9-12900K, 3.2GHz (5.2GHz Max Turbo), Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700, Vídeo Integrado - BX8071512900K;R$ 2.699,99
53;Processador Intel Core I5, 8500, 4.1ghz, LGA1151, 8 Geração Oem;R$ 446,11
54;Processador Intel Core I7 3770 3ª Geração, 3.40GHz, Quad Core, 8 Threads, FCLGA 1155, OEM;R$ 327,43
55;Processador Intel Core I7 14700kF, 3.4 GHz (5.6GHZ Turbo), Cache 33MB, LGA1700 - Bx8071514700kf;R$ 2.649,00
56;Processador Intel Core I3-12100, 30GHz, Cache 12MB, 8 Threads, LGA 1700 - Bx8071512100;R$ 858,32
57;Processador Intel Core I3-10105 10ª Geração, 3.70GHz (4.40ghz Turbo), Quad Core, Cache 6MB, 8 Threads, LGA 1200 - BX8070110105;R$ 687,12
